,Key,ride_review
170,171,Unable retrieve phone left Uber car days nonstop attempts Surely I one left phone leaving party surely I one greatly depends phone No customer service
171,172,I driver I drove several times past weekend I several rides surges Customers even told ride surge Now said done Uber want pay correct pay This first time happened I tired fighting giving money owe Be warned decide driver Uber They short pays continue get scripted replies someone another country
172,173,I never knew going difficult task contact Uber customer service issue husband In fact customer service per se critical safety response line much help problem What happened husband left Uber wallet documents id cards credit cards pictures etc He really got stressed lot contacted Uber app right away able reach driver You must know really ca reach driver even though Uber app transfer call The driver never picked phone voicemail set leave message From Saturday night Monday night know anything lost wallet At least call back us found find ever read driver Syed lost hat even dollars wallet stress husband go lost documents One foreign driving license easy replace Even know may find first least simple message nice represent large developing company
173,174,I finally caved opened account UBER order take ride Hallandale Fort Lauderdale Airport fly home I impression first ride free I find place enter code Nevertheless I picked dropped charge Once gate I thought I go back app learn perhaps discover enter promo codes That I saw second charge applied To make long story short number back forth emails UBER seems driver Yuniel speak word English claimed dog I urinated seats The UBER reply fourth email included I find absolutely astounding require multiple back forth emails much stressing following reasons I flying Florida car dog Had seat like previous passenger I entered car I tried save picture try capture time stamp proof saved UBER know I charge reversed VISA wo satisfy means driver still get fake cleaning charge The driver known make ridiculous story perhaps claimed passenger ill I want give ideas something driver Yuniel thief But company reputation maintain go length support scam disheartening I year old clean cut person traveled without pet kind I taken ride pun intended company behind driver far done nothing resolve except continue send emails driver ridiculous claim Through magic snipping tool I present photo driver submitted Would sat Not I continue write UBER resolved Unfortunately company single driver eliminated future business UBER
174,175,I live San Francisco city using Uber two years About six months ago I first issue two drivers I report violations My score always stars Uber allowing drivers leave negative rating riders reported left negative feedback due unprofessional rude dangerous behavior My score dropped Yesterday afternoon I correctly honestly paid two seats spouse driver arrived car one seat available When asked cancel ride denied request multiple times stared us creepy way When heard going contact Uber immediately left us sidewalk bags kept making us pay ride benefitting two passengers back seats occupying wife seat bother move enough allow sit unpleasant behavior understood fault much driver since must paid one seat causing main problem The driver retaliation damaged profile score I stars I working hard restore score bad drivers damaged months ago seems like riders way protect similar behaviors We constantly risk finding unpleasant arrogant lazy even dangerous drivers Uber Customer Care care I able obtain refund I asked restore score I ended infinite loop excuses explanations policy prevents modify riders drivers way bad drivers allowed damage reputation good customers customers reporting issue I informed Uber I rights move legally despite claim fake policy In particular let Uber arbitration clauses prohibits customers suing company scare stop fighting rights April California court ruled obscured terms service privacy policy screen meaning rider suing company reasonably notified giving right talking privacy defamations involved similar situation aware despite Uber claims rider profile NOT private requires one person see driver public And many drivers takes advantage low score avoid picking behaving badly way If driver damage score retaliation reported given star Uber driver face lawsuit
175,176,Uber charged card ride take place I notified bank Uber charge weekend I never left home Attempting contact Uber phone submit fraudulent statement via website proved impossible The last Uber contact number recognize phone number Their website permit required screen shot fraudulent bank transaction Ultimately I resorted closing card reasoning happened certainly happen Shame Uber
176,177,First Almost impossible try find way send technical question Once I got someone totally misunderstood issue Then assigned RESOLVED tag WAS discontinued contact NEVER HAD MY ISSUE RESOLVED AND NOW THEY WONT RESPOND This company WAY TOO DIFFICULT deal Giving Just gon na stick Yellow Taxis
177,178,I recently Seattle fun trip Used Uber several times without problem But sudden charged nowhere never respond But thank God bank denied fee Then I asked ride cancelled yet said I location I requested charged cancelled ride NOT And trying contact customer service joke say least I used Lyft yet checking Uber big rip careful
178,179,Attempting schedule ride Uber using app failed times app verify card security code back three credit cards I entered app I returning home shopping frozen goods relying Uber get home After several failed attempts I noticed Uber shifted surge pricing still higher surge pricing I finally able schedule ride However I believe I drove rate I requested many rides app took hold I asked Uber investigate concern heard back original message deleted
179,180,I Uber driver I took couple riders happens husband wife When I picked riders women wife badly intoxicated sitting sidewalk It first time I know happen next I picked LA headed Torrance By time I nearly got destination wife threw car The husband helped catch puke onto shirt since liquid throw soaked back leather seat anything I completed trip home got car Since first experience rider throwing back seat I know claim clean fee I used wet towels clean threw able wipe pukes back seat The alcoholic smell gone left car horrible puke alcoholic stinks I spend nearly minutes cleaning open whole car windows smell bad My car fresh brand new less year old Lexus IS I found app I request cleanup fee via Uber So I took pictures sent pictures explanations situation happened rider I drive due alcoholic smell I home The next day Uber customer service contacted via email Here said If submit photos damage clearly show mess including wet seat explanation happened within hours happy look cleaning fee The photo submitted show mess charge rider evidence mess I apologize inconvenience Thanks much Uber After exchanging emails days Uber pay penny tried help cleanup fee car I really disgusted tired Uber customer attitude towards drivers I heard Lyft pays straight detail fee rider throws car As probably dealt experienced Uber drivers say Lyft much much better drivers riders comes satisfaction
180,181,I Uber passenger multiple times problems When problem one help I ask phone number say phone support Just email I charged double stated Uber account going different destination I went I emailed multiple times reply saying resolved That price I think No one really read complaints I kept emailing last email said sorry ride days closed I emailed several times response Uber right always wo listen customer support stinks My dollar trip stated app Final
181,182,UBER care drivers vehicles For issues people responding Philippines initially say We offshore trained use initially prepared ready texts Those guys disclose unique info like employee ID initials imitate work issue imitate care imitate responsibility Every time different person responds veil anonymity You ca talk manager Their system designed discourage drivers resolve issues confuse distance On top UBER want sued They want arbitration UBER also like class action measures How possible USA government allows american corporation play games people avoid responsibility
182,183,ON I Oregon alone trip University needing ride PDX get home CA I chose Uber Lyft driver available time arrival worked I arrive airport PDX plenty time But getting lost looking gas And use app guide pick locations I ended late therefore made miss plane I sorry This unacceptable Uber feeling helpless time I quoted My time gave ARRIVE PDX gave min catch flight I WAS minutes late I MISSED MY FLIGHT BECAUSE HE STOPPED FOR GAS AND COFFEE That unacceptable I know going driver definitely thinking make pit stops take streets airport miles away He refused take freeway first time I asked finished coffee said ok time things look good Thank I feel Uber able assure times routes ca control drivers There traffic morning reason drivers miss flight
183,184,I bought Uber card I way work pretty high amount I allowed use card first I use anymore I try go customer service good They run around circles took money account I bought credits They tell still work The Uber card scam I really want put star stars
184,185,I feel compelled let people know one seeing hidden charges show ride I recently Boston actually ran street get car early driver stop heavier traffic charged wait time charge How heck work No response Uber yet wrote The driver nice good ride destination fee pumped make money I right door address I put Uber agreed pick wait charge wait put Also couple weeks ago Albany NY charge quoted getting receipt breakdown showed toll Uber worker comp charge Hmmm toll road taken heck happened So I starting think coincidence however print itemized receipts route taken hold I decide I going report Uber sooo great started Honest nice cars great drivers billed one fee knew going include front Again neither situations happened billed respond issue tell charge Signing Lyft today Hearing great things perhaps want business I think Uber may issues people Watch receipt breakdowns
185,186,A ride exact origination destination similar traffic condition driver availability situation usually taking around charged around driver get extra charged amount UBER naming whatever price want without supporting facts customer service extremely horrible one even marked issue resolved without content reply Please caution take ride front showing price UBER app rip
186,187,I honestly lost track number times I frustrating experience company It got least point within past year Each time I attempt resolve problem contacting website option speak human The process attempting communicate every single time another giant frustration I decided stop using services many better choices thank Lyft recently enticed email I got offering unlimited rides month I decided buy pass unlock rides I arrived home see I charged ride showed app And I found yet writing another disgruntled email try remedy situation Please save trouble use different taxi service
187,188,I contacted Uber ride August PM The first show The driver notified pick But I charged fee Could contact Uber protest charge I never use Uber
188,189,I able successfully use app Whenever I tried get ride says check connection It never seems problem connection comes excessively texting messages urging become driver remembering credit card information I never requested info become driver rider When I went online contact customer service option fill generic field customer service number hands flimsiest excuse lack phone support I ever heard It message tells get back hours When I need ride going solve problem I tried hours I yet receive reply Direct quote More often phone messages incoherent slow ability provide customer support How actually answering phone use automated call back service Or chat support website Calling cab may pricier much less aggravating It I already feel though I need stiff drink
189,190,It August Dallas Texas raining hard I called Uber ride go ortho appointment I Parkland Hospital I involved horrific accident January leg nearly severed saved amputated I wheelchair months today first leave house without wheelchair walker go appointment It pouring rain driver pulled close umbrella I trying balance get vehicle got mad umbrella wet got water vinyl seats busy throwing fit I standing outside car allowed get I move umbrella dry seat Show put rude talk I told I get another driver Uber nothing matter charge cancellation knowing I fixed budget needed Rideshare money go towards another driver I hire weeks I another driver refused stop morning take appointment like neighborhood She nicer neighborhood said feel safe picking anyone neighborhood I asked bothered take trip first place I paid cancellation
190,191,I active user Uber I saw service available France recent vacation I used Uber rather taxi I left iPhone Uber last Thursday Bordeaux I immediately tried log account contact driver apparently I another country required I provide verification code sent phone Uber driver car My friend also Uber user contacted Uber app file inquiry behalf We less emails Uber customer service different person time asking file inquiry online always lead service sending verification code finally got France Uber contact driver Saturday two days phone left car phone The driver met hotel told contacted Uber fact phone minutes I left car Thursday Because privacy policy I contact contact We coordinate Uber Customer Service whatever CRM system using track passenger inquiries sucks Unbelievable company size
191,192,In Kadubeesanahalli AM front Tech Park Uber driver hit vehicle right side I stepped find I asked lot space hit car He replied saying I want go left edge road immediately I hit vehicle If I hit vehicle stop I go left edge road drop passengers This Uber drivers Uber encouraging teaching drivers hit kill people order drop passengers time We one way road He least know one way He says two way I go direction I want Very strange people earth This social responsibility Uber Great organization
192,193,Uber took another city away less minute without even leaving home Got charged trip I order took Never leave card information app check app regularly ensure victim fraud
193,194,SHAME ON UBER THEY SHOULD BE SHUT DOWN
194,195,Uber car service selective certain customers offering flat fare packages deals If customer normally spends never offered I however accidentally offered another rides package I tried accept one let I contact customer service told prove offered really horrible even go I screen shot sent They apologize said sold I receive next month Not Again friend barely catch Uber offered I mess Uber get lost They also give one price driver gets lost hike price You screen shot ride start
195,196,My uber driver stole money account dollars His name Michael License plate Be careful charge extra My ride came dollars make things take money account Uber unprofessional
196,197,I driving uber course idea uber unique company bottom line taxi company Only taxi companies drivers may non professionals uber company I ca see anything american Number one unique company enough great company bet dirty cheating company cheat customers cheat drivers automatically mean cheat government I warn every customer driver check trips mileage time compare charges surprised matching reality small big different Even small different cheating may multiply cheating quantity trips daily millions monthly billions Is American way I think driving miles paying trying prove gps much charges customer paying customer give tip reaching account charge customer paying less percent must month ca fix problems app area I continue line list check every trip let allow cheating even penny I think real American way
197,198,I waited spot airport Car minutes away I waited minutes car arrived Yet Uber charged waiting time The charge small question principle honesty Is due improper reporting driver I correct erroneous reporting If Uber making mistake I get corrected It difficult contact Uber customer issues I avid Uber rider I look options
198,199,I used Uber ride secured Uber pool price change When I receive receipt ride change I contacted Uber error insisted price receipt correct This clearly case price switching Uber want take responsibility Not mention driver got lost several times using Uber map system I use google app phone get driver pointed correct direction Uber customer service absolutely help incident
199,200,I several issues Uber especially navigation minute ride service takes minutes hour application I last straw yesterday I requested Uber three minutes away stand wait minutes Of course Uber gives two minutes cancel almost every time case extra charge almost dollar certainly scam probably adding many unknowing customers making lot money I always pay attention email receipts come They even indicated hold put account lower amount turn charging That prompted look side I shocked see lack customer service On another note almost impossible conversation customer experience Uber I tried several times past They interested knowing customers think They also force rate drivers poorly fault often times application send wrong location I done Uber
200,201,I purchased Uber gift card amount son use He tried redeem however Uber asked credit card Hence buying Uber gift card In attempt satisfy Uber request I purchased another gift card thinking act secondary Instead Uber app requested son provide credit card info So I finally caved provided credit card son payment satisfy Uber request They made mess account bank automatically shut card First Uber charges account reverse charge done consecutive times causing alerts bank Without knowing son time purchased another gift card I purchased gift card listed amount course use one either unless credit card information inputted Uber app This dishonest business How business sell gift cards NOT going properly redeem There lots consumers credit card gift card good alternative However much trouble worth Uber NOT allowed sell gift cards Can imagine buying gift card movies retail outlet told need credit card information order redeem How Uber get away business practice This really causes undue stress people find situation well place people unwanted situation proving credit card information
201,202,I several recent issues Uber I requested Uber New Orleans driver never showed I followed route according driver picked husband I dropped us destination This NOT happen We never received ride charged ride nonetheless When I contacted Uber charged receiving ride stated driver checked said ride given We left stranded never received tried forgiving decided try Uber Orlando My family requested Uber xl claims seat people We people party children age Our Uber driver showed compact SUV row seat He claimed squish back I angry I charged Uber xl received seater car We specific timed reservation miss So I took trip better judgement paid Uber xl fare clearly Uber xl While car I ask driver please change radio due language He listening hardcore rap music extremely vulgar content children car It totally offensive inappropriate years old grandchildren subjected incredibly offensive impolite I sent Uber complaint app met rudeness incompetence They stated car Uber xl according policy I sent pictures policy along description car picked us clearly states seat compact SUV includes driver Uber still responded negative manner I incredibly upset annoyed I NEVER use Uber post many negative feedback responses whatever I This unacceptable customer service A unhappy OLD customer They longer family customer
202,203,I going vacation called Uber driver showed I opened door acknowledge start take suitcase Before I took first suitcase driver left charged fee The second driver showed said know get airport left charged fee Finally I called Lyft showed However kept charging card I Scandinavia
203,204,Driver passed showed way back sudden nothing By cancelling wanted charge Lost ton time I miss work Because I pick car closing Your driver cost days work Not happy Lic plate
204,205,We got Uber last night literally miles total The uber driver confused since phone said error like I never seen asked stop reset pulled house said I going Jacksonville Florida CA trip amount I immediately told driver need fix ASAP He hit trip end showed still high I look bank account Uber took I sent dispute received email back email associated account WHAT I one email proceeded screen shot everything I call bank dispute charges This still resolved closing account
205,206,The company unprofessional period They care safety The people talk u sound like automated reading script They care u The money worth The company scams money gas card crap Do work worth A lot people leaving
206,207,On around PM I scheduled Uber pick work AM Now I done many times I need early morning ride Never problem At I received text ready minutes scheduled pick Next text alert Uber driver minutes away Then I received text message Uber driver asking questions The first one I responded No The next text going may I ask I stated work Meijer North Weber The conversation continued You need cancel cause I minutes away Now I looking map icon driver THIS MAN IS APPROXIMATELY MILES DOWN THE STREET FROM ME The driver continues need cancel right charged Lie I said canceling I charged You driver states The system let cancel following I ca get messages I told cancel make So driver starts drive around making look like ca find I asked times cancel His response I ca get messages SO I gave directions I stated go back Broughton turn left Schmidt No response I need work AM driver finally canceled another driver come get UBER SUCKS I choice use times I log complaint finally canceled drivers cell phone The company praised man great work years Sorry order number The customer important company Never Never
207,208,gift cards usable I deposited gift cards loss leg needed way go doctor office That weeks ago refuse address issue The answer pay debit card unable fix time The plan thief gift cards
208,209,We visiting Chicago decided give Uber try get around town On Monday I requested ride Uber app hotel Roselle Metra train station Uber responded driver way make car driver name Hans arrival time We waited Hans show hotel app showed waiting us hotel trip finally cancelled Uber charged wait fee We send another request Uber pick driver arrived got us train station late train due first Uber driver showing correct location wait hour next Wednesday I requested Uber pick take us Legoland Discovery Center Schaumburg IL Uber responded sent driver information Rajinder vehicle info When Rajinder arrived told going Legoland Discovery Center ended driving us Macy mall told us Legoland mall We informed correct location weekend He continued insist mall started raising voice continued drive us around mall He call people names walk front called husband provided address Legoland Discovery Center said arguing telling correct address His voice continued increase uncomfortable insisted get car request another Uber ride As got car screamed car window Stupid In addition rude kicking us car wrong location confrontational car messy smell clean We contacted Uber said investigate instance refund fee trip At time I feel like I want take Uber since I good experience instances I used
209,210,Our first trip Uber New York satisfactory The driver prompt price reasonable The second trip resulted two overcharges THEY cancelled ride twice Reading reviews shows overcharging common practice Uber We found drivers pleasant capable review directed toward We use Uber
210,211,Your drivers took Canoe either stupid b lying c honest APP told take MILES way favorite restaurant Drive I taken Brookhaven Buckhead AND took TWO side streets rack miles Drive back She told APP told get OFF travel Buckhead I TELL HER directions I spend night car I want FULL refund trips I hour late dinner appointment SCAM Check GPS Unbelievable GPS Should I really give directions WTF miles
211,212,Today I pick customer I wait minute come I call He hold phone I cancel He come I cancel I said call Uber I cancel rider show He told uber cut money account But whenever driver cancel uber pay money driver cancel I show rider I already cancel I show account cancel get money customer I cancel Customer need call uber refund want drive go pick passenger way customer cancel We lose gas Uber pay free And wait passenger minute time free We lose gas We sent far passenger house sometimes come back get passenger We uber driver also Lyft driver want drive Use car Spend gas get little money
212,213,Uber charged faults mapping system I charged excess I booked UberPass My fault I asked driver drop front gate office Uber mapping system showing drop location back gate Exit The funniest part reach back gate I go km extra So I literally charged extra saving time driver time fuel I understand computers faulty times But I contacted customer care human I assume gave script What point human understand logic
213,214,While staying Champions Gate FL daughter friend got Uber estimate Orlando estimate The first driver took minute drive dropped Church Street pm The driver picked around brought back hotel minutes charge stated took hour minutes On map see drive around Buena Vista unnecessary If know Orlando know straight shot I I drove I day construction It took two emails get answer Uber place excuses Made sense straight shot straight shot back I used Uber many times I use Lyft go back old fashioned taxis How business survive real customer service
214,215,After night one weekend friend called Uber I pretty drunk wanted make sure I got home okay While car I felt like I needed puke I opened door outside NOTHING went inside car aside small splashes plastic door I offered go buy water bottle rinse driver said fine I waited line store took Left drunk girl street ensuring safe arrival home Both friend split fare charged small fee UNTIL visa statements came saw cleaning fee EACH top ride charge I spoke many friends acquaintances actually told puked inside Uber charged I tried get touch Uber Mind Opened ticket order get touch reply back saying policies put resolved immediately prevents able write back I opened several tickets regards issue Wanting answers friend I charged much vomit even inside car They extremely unprofessional even I asked stop closing ticket kept exact thing They sent pictures first ticket zoomed vomit OUTSIDE pictures expire fairly quickly I longer view I asked resent ignored request I explained aside incident nothing like happened I rating app That I understood pay fee extreme kindly asked reverse least charge even car time unprofessional give short answers close tickets time Definitely recommend service access credit card information use however see fit Obviously proper guidelines friend puked inside car charged less I puked outside There way remove credit card information app unless put new one I never give information For company fought hard come city show care customers Completely unwilling work meet half way
215,216,Uber overcharged dollars bogus cleaning fee I communicated letting know mistake since took short ride accidents happened They insist driver sent pictures mess back seat charge valid There two us picked pm dropped pm The pictures clear show white particles one side black seat behind passenger seat They still insisting charges valid refund processed Their time stamp incident report pm obviously set driver Shame I see online happened times I filing report people aware scam take pictures using UBER services
216,217,I driving Uber almost months never issues till recently I received rider request see destination start trip I get location find trip hours trip almost hours Iowa Ohio That problem I needed money I started trip drove destination completed trip stars Right completing rating app logs suggesting I get back home location able go back online The app froze nothing else I The red message suggesting I go back home location thing I read When I got back home Rapids I turn online button I check trip history The trip nowhere found I worried much I usually get issues like Uber app minutes fare end showing I kept waiting I decided contact sent automatic response suggesting I patient take hours fare show app I waited hours nothing done I contacted numerous occasions I get loop responses As per I even get response It week since happened I nowhere address issue The trip cost rider I used gas money nearly I contacted rider gave personal phone number He says seen receipt either problem issue get fixed get charged trip This experience makes think twice I get trip last like hour clear anything wrong app I lose This kind treatment beyond inhuman I ca believe kind people I working And also treat issues report get partial long lose They favor whichever side make win lose anything
217,218,On Thursday July I received text male driver looking voicemail minutes later I received another voicemail woman saying looking location I NEVER requested Uber I signed account Wednesday July used service go airport hotel Now I charge account ride I request take I sent multiple back forth Uber claim reviewing see charge come phone device appear valid trip charged appropriately time distance traveled able make adjustments fare They also suggested follow anyone may physical access phone see taken ride work payment details Again I alone opened account one else access I multiple times still send generic response
218,219,I drove Uber two weeks went ok making much though Anyway long story short I smoker I guess knowing clothes smoke smell people complained Uber nowhere sends email saying I fired I idea time trying talk kind intelligent life company I finally found gave ABSOLUTELY warning They never mentioned complaints fired response send email problems Absolute waste time ever try company
219,220,Uber worst I call Uber waited corner street I saw car moving kept turning around around He stop walked street Did see saw car moving left Came side street never came We called another Uber He came got Uber charging cancellation I cancel ride I stood busy streets Toronto waiting waiting He never came insisting accordance policy UBER SUCK Pay regular cab rate get good service
220,221,Spoke great Uber longer After cancelled I charged told yes next trip refund never happened Again times since Atlanta area drivers accept call answer say hello I end cancelling reset phone try another driver Airport trips etc I charged without fault A ruining good drivers Never get money back I done Will use Cab services Uber guard good thing social reviews easy come customers easy go I work hard money
221,222,I used Uber ride May home Uber quoted Uber charged Citibank Visa overcharged I contacted Uber ask refund Uber refused first I contacted credit card company dispute NOT entire Uber refunded credit card I closed disputed upon received Uber places unpaid account My credit card statement stated I paid original trip I confirmed Citibank Visa bank paid Uber successfully I sent Uber credit card statement indicated I already paid However Uber insists unpaid demand pay different card I refuse pay twice service blackmail blocking account I pay ransom I provided credit card statement Uber evidence payment All Uber provides arrogance I paid without proof
222,223,Trying get help On June Uber started working Long Island According uber want drive need special license special Insurance TLC license even new car newer It sounded really good I went Marriott Hotel Uniondale NY fill paperwork It hundreds people I set go wait June start driving With days I receive text Uber saying going call New York state need uber decal One already mail meantime print copy put front car I like I told Runs everything going smooth I six seven runs The last one going Mineola train station I dropped customer TLC Officer came window ask license insurance registration I got three tickets one decal I told officer I told Uber put car I showed text I shown emails He basically told tell judge They know copy legal illegal decal I got two So I trying get touch emails address use phone numbers take incoming mail text I want see want help three tickets I got court date August I believe I responsible exactly told
223,224,Advised driver airlines I taking They located terminal A driver dropped terminal I take taxi cost get correct terminal First time using Uber last No one take complaint
224,225,Uber account hacked refuse refund money I country vacation someone charged trip account I arguing Uber I even country one else account information access phone I prove I country obviously phone I took pictures I seconds away canceling account If I give stars I
225,226,This worst Uber allows customers scam drivers Drivers lie say picked uber charges back driver pay This allows customers get free rides fair My advice driver Lyft Uber go bat drivers period I drove person different destination per request contact uber said I never showed Uber charged buck I lost fare gas money This right
226,227,Driver OK said going wrong way Then I said We gon na dock one star Then said whiny voice I lose job We said What destination taking us He able confirm destination As going away destination He RUDE said using Uber app directions We said Regardless going normal route American Airlines Area I go Miami three days week I know get many ways route taking Then turned car around middle street pulled side said Get We ordered another ride destination Your drivers past respectable driver Rex Hyundai Sonata If reply within seven send report BBB speak attorney I believe dropped us dangerous location wife upset I pursuing avenues concerning driver vehicle company
227,228,I returning veterinarian clinic old dog back seat My route carried neighborhood I resided years maneuver side street across San Pedro incident occurred made thousands times without approximately I pulled intersection Thames San Pedro intent crossing San Pedro taking almost immediate left onto Sprucewood Ln I looked ways observed traffic beginning move southward traffic light hill south traffic proceeding hill heading northward good distance It one rare moments maneuver easy traffic within enough distance cause concern require degree extra caution I crossed lanes San Pedro turned right center turn lane proceeding I turn left cross lanes San Pedro onto exact moment I began move steering wheel turn left Sprucewood I little noticeable impact mostly noise another vehicle without warning horn screeching tires left side almost direct center front wheel flare The car black sedan size Chevrolet Impala may pulled center turn lane feet front I somewhat stunned development immediately concerned dog given heat degrees amongst issues suffers incontinence although recently relieved exited vehicles I stunned damage car whose front end ripped almost completely The driver I approached vehicles He tall weighing lbs reddish blond hair noticeably visible tattoos He amiable demeanor immediately asked How want handle Being shocked state I said I know I still trying get bearings take everything wondering I old dog He responded I Uber driver I fare need get going There person appeared female sitting rear seat passenger side I indicated I dog car needed get home I said let look car close inspection thinking damage mine mostly cosmetic subsequently proved erroneous We proceeded around front car observe right front area small dent front corner thereof There also roughly scratch center car mainly rear door noticeable dent At point still confused state I asked come He indicated parking lot east side San Pedro exit probably I crossed San Pedro center turn lane He impressed upon need get moving returned position cars I asked something write He went back car I pulled insurance card business card phone number I handed indicating email rather Gmail He took picture insurance card iPhone handed back placing card shirt pocket He indicated call later evening immediately took Still somewhat disoriented I failed get license plate number strong inclination started H last set numbers I called friend came got dog returned home I tended get car towed repair center reporting insurance co I contact said individual A subsequent visit scene take pics show skid Friday June I went Uber local Green Center I spoke one Tony indicated office access Uber fare logs indicated escalate matter mgr He also indicated discuss matter management meeting follow soon thereafter I thereafter told said person via email insurance companies police given information violate Uber Service Policy On Sunday June I reported police issued incident report crash report traffic investigation unit needs I want file charges A call officer obtain number car BMW I bought party I known since bought car miles maintenance records I knew I getting I sunk substantial amount money restoring age totaled insurance company I looking hit minimum Moreover I elect take car fix I longer insure collision comprehensive The insurance company says contacted Uber might take weeks get respond July Uber regard one think Uber bend backwards help identify driver car sake sake future passengers I say I aware Uber app show drivers particular area given time drivers tend circulate general area Moreover one think passenger filed report Uber happy get involved resolving matter involved injuries damages repair vehicle
228,229,I used Uber days week going work going back home Every time I set ride Uber charge different prices I going place every time I texted Uber fare Then morning one drivers disrespectful I call police drive He threw personal things street like I dog While I talking police I told driver I know I This started loud club music car It I asked turn It hot car driver said car Get ass car I trying get free ride I always pay Uber I set ride Uber really care hire It overcharge customer even go way every day It really sad way get work I want lose job The thing Uber said make sure driver pick anymore This man treat like I trash Said going put pic Facebook everyone see trying get free ride That I like picking They always want something free If anyone wants check I never tried get free ride Uber I always pay fare Thank
229,230,I using service past one year Your service good Recently one issue observed cab allotted ride booked While cab already trip allotted next booking en route complete last trip But case always On cab booked residence allotted one somewhere away yet go complete last trip reach Even today I started cab Visakhapatnam railway station towards residence cab got allotted somebody booked Simhachalam So totally cab booking spot Such wrong allotments obviously trouble customer may urgency Cancellation attracting deduction minimum amount driver fault So ready cancel The victim customer Please take corrective measure problem
230,231,cab last night morning go Michael Hospital Toronto appointment driver came cancelled us go downtown Asked get us another driver said Went rebook I wait another hour unacceptable On top charged cancellation fee Not happy
231,232,Uber gave estimate app Driver picked traffic know going I ended getting charged That higher estimate Unacceptable Next time Lyft
232,233,I texted UBER minute ride first driver show I waited hours called This time different driver showed overcharged It creepy ride UBER refused refund cancellation fee I incorrectly charged drives never showed Good luck ever reasoning UBER They care
233,234,Got seriously duped Uber Got billed trip Napa Tracy CA Same trip two days ago They slip called Black service rug clear customer stepping mine super high charge They totally unwilling address matter reach fair arrangement There consumer protection misleading services differ dramatically pricing regular services
234,235,I rated driver trips Vehicle depreciation contractor dealing passengers fuel expenses ok deal Uber spent money lobbied warrant checks fingerprinting eliminated employment requirement Houston Now market flooded druggies perverts criminals Uber rather thousands drivers reward good drivers This keeps surge theory people use service prices repeat customer tell bad experiences Uber since regulations lifted Uber spends money upper management tech gurus whose sole purpose cheat drivers lie regulators Her first negative experience female driver boyfriend car pickup smoked weed car reeked Her experience coming home birthday male driver clutter backseat sit kept turning dome light making advances perverted comments good feet toes legs looked Also Uber records driver every move send daily driving acceleration speeding But include statistics driver rating That purely subjective left passenger opinion driver So drunk like way look give cowardly star rating A drunk type wrong pickup address give star claiming driver needs improve pickups And Uber reward drivers provide excellent service despite way system rigged USE DRIVERS
235,236,Scheduled Uber take daughters airport Yes THE AIRPORT They cancelled mins AFTER scheduled pick time YOU CAN NOT DO THAT IT A FLIGHT Called cab came mins
236,237,I ordered Uber drive Once I ordered gave amount ride cost The driver got lost complex took several minutes phone direct correct address Uber charged wait fee The driver also got lost way destination I mind time But charged nearly ride bothers They also mention include order charge quote provided If I quoted amount I expect charged I wo choose ride Uber future
237,238,Uber charging Kansas City ride said I vomited car When I asked proof sent seat wet fabric otherwise clean They refuse drop charge
238,239,Uber offered rides thru July however every time I request ride make sure charge half surge pricing matter time day whether busy Basically half means I still paying regular non surge price What rip And ploy get money
239,240,I requested ride medical office miles Uber picked After driving miles I questioned correct I familiar area know exactly I The driver pulled parking lot checked gps said Uber app incorrect After going miles I dropped destination instructed contact Uber credit I never tried change destination always exact address I charged ride miles I picked After several emails back forth I charged ride timed properly This supposed reflect proper pick destination If driver makes mistake ca use equipment properly customers pay
240,241,say Sorry account deactivated And I emailed said help I send picture credit card id cellphone information section I send immediately write sorry I allowed Uber Then ask information Are stealing info hacking phone
241,242,Their app charges toll even driver pay toll At time even toll plaza system charges toll Their system complete flaw give excuse designed correct way Please aware traveling Pune Uber They charge toll even driver pay
242,243,Uber mentions standard upfront charges pool rides per promo provided kms I booked cab Saturday pm I showing however per drop location I charged I really know I charged much top Uber driver customer care number I told I giving money shown started giving dhamkis said started talking sternly If pay I able let However I gave money This much unethical wanted say I need refund soon possible I sent innumerable mails Uber tried make calls customer care none worked introduce dynamic charges charge extra amount And I guess even charge person cancels So way Uber making way money They charged times normal charge ride I supposed charged I hope I get positive revert refund soon possible big amount cheating going
243,244,I purchased Uber gift card able get around important places I need get doctor office pharmacy Uber prints gift cards cheap flimsy unreliable paper After purchasing Uber gift card dollars cash credit card unavailable use time I proceeded scratch covering code I able immediately redeem apply account Only I numbers unreadable illegible part gift card paper come There way able read anything beyond disgusting despicable If Uber print gift cards plastic instead paper code stay much intact readable upon Yes may cost little money matters right There way void gift card activated I stuck useless piece paper I paid dollars I panicked begged help store nothing help customer service helpline call help anything All one send messages emails wait hoping resolution problem issue I many many times without success horrible experience Each response I receive simply copied pasted exact words app website course I already know I needed help insensitive robot hours email tag haggling resolution addition calling Uber critical accident safety report line I filing complaint I severely sunburned extreme summer heat unable make clinic pharmacy friend house Uber chosen sacrifice integrity personable immediate assistance squalor quality cheap paper instead durable plastic name profits soured much faith I company My issue still remains outcome I want gift card I paid applied account plus additional extra rider credits applied account pain suffering due way provided business Uber seem immediate resolution issues Of course providing helpline customers call printing gift cards plastic instead paper probably never happen However know I angry
