overall,reviewText,summary
5.0,exactly as expected,Five Stars
5.0,Product arrived on time and was as described.,Five Stars
5.0,A timeless classic back when you can kick ass,Brings back memories
4.0,"My daughter loves this game. She says it allows you to do so many things. It is another great game in the ""Imagine"" series.",Nintendo 3DS game
4.0,The game is fun if you like the mahjong and games like that. Its kind of a cross between mahjong and and scrabble.  the only part i didn't like about it was the controls are what i would consider backwards for the controler.  It would be much easier if you could just point the little hand in from the wii control and pick your letters instead you use the directional arrows and the up and down seem to go sideways and the sideways parts of the plus make it go up and down.,wordjong Party
5.0,"Great game and awesome collectors edition.  The statue alone is worth $100.  The statue is very detailed and stands a bit over a foot tall.  I like the fact that this edition comes with a steel book case AND the original game case as well.  This one also comes with Goro DLC, the Gold Scorpion Skin. DLC, and of course the Kombat Pack DLC for 4 more characters and additional future costumes.  If you enjoyed the last Mortal Kombat game (2011) this is a must buy.  The graphics engine is top notch and runs at a smooth 60fps with awesome lighting and particle effects.  Online is fun, however be aware that there are some very skilled people out there.  The story mode is a blast and feels like a Hollywood movie.  Of course it's very bloody as this is Mortal Kombat, but it's so over the top it's actually silly.  The fighting engine is deep and each fighter has 3 variations to choose from.  Highly recommended!!!",This is how a collectors edition should be done!!!
5.0,"It's an amiibo so there's not that much to say.  The figure itself is amazing as always but don't expect to be able to use it in anywhere near the amount of games you can use some others in.
With the recent update to Animal Crossing New Leaf, this Amiibo does have more of a use than in the past. We may also see more support in the future knowing Nintendo.

The benefit of the lack of software support is the price. The Animal Crossing series of Amiibo are cheaper than most other series by a fair margin (MSRP is $8.99 instead of 12.99$) and I was able to pick this up for just $6.00 so the lack of support is made up for in the reduced price.",A great figure with somewhat lacking software support
2.0,"This item does not fit the 2DS properly. After I clipped my 2DS in, it made creaking noises and the system constantly fell out of the case, on top of that the case sits extremely close to the shoulder buttons and caused them to stick after they are pressed. I was looking for something to make the 2DS more comfortable to hold and this certainly did not fit the bill. The Nerf material feels nice, but it doesn't look like it would hold up to prolonged use. Don't waste your money.",Great concept - poor execution
5.0,The price might be a bit high but you will be glad you got the extra space. This card loads games fast and has a ton of room. I haven't had any memory issues and over all I am happy. No since in having a bunch of cards to carry around get this one a be done with it.,Nice to have the extra space
5.0,As advertized,Five Stars
4.0,This game is sort of like a mix of skyrim and call of duty i guess all i know is im addicted it also looks beautiful on the xbox one also the story is pretty good,pretty good game
5.0,it was really excellent!! i love it. this is what im looking for. now i can enjoy it! thank you.,love this game
5.0,Got this for my son for X-Mas. He is a huge nerf fan and wanted this game so bad. I put it under the tree and when he opened it he went nuts and had to play it. He was playing it before he could open any other presents. I am happy I got it for him and would recommend it for anyone that likes Nerf Games. The gun is also a regular Nerf gun so that is a plus as well.,Great Game
5.0,Great product grade game,Five Stars
5.0,Awesome.....,Five Stars
5.0,"Got this cable for my son's DS as back up ones but before I get to use them he lost the DS, when I attempted to send them back the answer from the seller was '' don't bother and will refund your money'' it was very of them, that is great service!!",Very good product and service
5.0,"IT'S MONSTER HUNTER, WHAT'S NOT TO LIKE",Five Stars
3.0,"To be completely honest, this game is a disappointment to me. I am a fan of the series and have beat every game up to this one. I am really having a hard time keeping interest in this one. I do not care about Edward. He is not an assassin, at least not to the point that I have gotten in the game. The ship battles are tedious and the mechanics of the game stink. Assassin's Creed two and Brotherhood were excellent. Revelations was good, as was Assassin's Creed 3. I have had to drag myself to get through to memory 2 of sequence 8. I really do not know if I will actually finish. I am hoping Unity is much better.",Don't much like this one
5.0,"Up to four players, twelve total players if you choose the internet option, motion steering (I believe the motion does other functions as well) this is a very very fun game for the whole family.  Also, works just as well without the steering wheel.

The internet play is so cool.  Rather than compete against the computer where the other drivers drive at a constant speed and hardly ever go off the track, you race against real people whose moves are so unpredictable.  The internet play is just really fun.

Well worth the money you spend on the game.  One of the best Wii games out there.",A must have Wii game.
1.0,the game did not work at all and I was sent a new one and it did not work also.,the game did not work at all and I was ...
5.0,Excellent very responsible,Five Stars
5.0,My fiance likes it.,Daisy
4.0,My son says that it's a pretty good game. The story line is good and the graphics are nice. The only problem is that the combat isn't that good.,My son says that it's a pretty good game
4.0,"Amazing, stunning visuals, immersive world. The one thing though is that I can not think of how anybody could solve the puzzles in the game without a strategy guide, or at least using an online walkthrough guide. That said this game is simply amazing. I just ordered two of the earlier Tomb Raider games (Legend, Anniversary) and their strategy guides, going to keep me occupied when winter approaches.","Fun, great graphics, puzzles, stunning visuals."
1.0,"Sucks, Can't play the game.",One Star
1.0,The item is broken. A large crack on the back and the shelf inside is broken off. Not worth it.,Not worth it.
5.0,The price was right and it shipped quickly for the holidays. It was purchased for my children and they seem to be enjoying it.,Great!!
2.0,"Like many others, we got the  ""the game has been updated to an incompatible version"" . Followed the steps and got it cleared. My son played for 6 days, made a huge amount of progress, then this morning we woke up to a ""corrupted"" message on his game slot.
So 6 days of progress gone completely.
We own all the Lego games for 360, logging hundreds of game hours, and have NEVER experienced either one of these issues.
While the actual game might be good, the system problems are horrible.","Didn't get the bugs out, did you?"
4.0,It is interesting and has many puzzles and levels.  Some of them are a little harder then I usually play but I'am working up to them.  Great Price for all you get.,Interesting
5.0,Great,Five Stars
5.0,My boyfriend was so happy that he got this for Christmas i don't know how I will top next year.,My boyfriend was so happy that he got this for Christmas i don't know ...
1.0,Don't buy! This charger only lasted for 3 months and completely failed to charge on one side. After the first year the second charging input died too!! Well it's in the trash now and I sold my wii so that problem is solved.,Sigh~
5.0,excellent product and time,Five Stars
5.0,Love Hori cases.,Five Stars
3.0,The console itself it's great. However keep in mind that the game Borderlands 2 is extremely unstable in PSP! I haven't been able to get past the second mission because it hangs everytime I play (in different locations). I know my console is good because all other games work fine. So heads up!,The console itself it's great. However keep in mind that the game Borderlands ...
5.0,"Taito Legends Power-Up for the PSP contains 21 original Taito arcade games along with 4 updated versions. Here is the complete list of games in this collection:

Alpine Ski(1982)
Balloon Bomber(1980)
Cameltry(1989)
Chack 'N Pop(1983)
Crazy Balloon(1980)
Elevator Action(1983)
The Fairyland Story(1985)
Kiki Kaikai(1986)
Kuri Kinton(1988)
Legend of Kage(1985)
Lunar Rescue(1980)
New Zealand Story(1988)
Phoenix(1980)
Qix(1981)
Raimais(1988)
Rastan Saga(1987)
Return of the Invaders(1985)
Space Chaser(1979)
Space Dungeon(1981)
Space Invaders(1978)
Space Invaders Part 2(1979)

Balloon Bomber 2005
Cameltry 2005
Crazy Balloon 2005
Legend of Kage 2005

For each of the classic games, you have the option of re-sizing the screen with the triangle button(or turning it vertical to mimic the arcade original). The games are emulated well and they each look/feel like the arcade original.

This collection contains a few games that weren't on the Taito Legends sets released for the home consoles(these games are very obscure). The updated versions for the most part play exactly like the originals except with more modern graphics.

There is moderate load times when switching between games. Additionally there is a 'game sharing' option(I have not tried this yet) where you send your game to a friend using WLAN.

The only drawback for some might be that this collection contains a few lesser known titles; but for the most part, these games are fun and addicting for the old-school gamer.",Taito Legends Power-Up for the PSP
5.0,"Great Deal, everything worked",Great Deal
5.0,"Many people complain that Bioshock 2 is too much like Bioshock 1. Well, firstly, Bioshock 1 was an epic game and a carbon copy sequel would still be epic. Secondly, this game is not exactly like Bio 1. You play as a big daddy, there's new story, the plasmids are the best in the Bioshock line, and the weapons are new. Bioshock fans will love it.",Epic
4.0,"This is definitely not a hardcore game for skilled gamers, as it follows the movie's basic plot and pits the player against various enemies over a period of missions. Achieving the mission goals results in money to spend on upgrading the Iron Man suit which is fun. It's a bit tedious but the gameplay is suitable for young gamers.","Complements the movie well, a bit slow, but good for young gamers"
5.0,"Awesome game! Not as good as Uncharted, the graphics are a little weird, but it's definitely worth playing!",Five Stars
5.0,"Beautiful graphics, and the game play is quite fun. It's really challenging to finish some areas. Getting the 6 different endings are doable though.",Beautiful and fun game
5.0,Took a while to get home but its good for protecting your 3ds XL is a hard shell case,Five Stars
5.0,great,Five Stars
5.0,Very quick shipping. Great product.,Works as advertised.
5.0,"What are you waiting for, buy it, its Metal Gear, one of the greatest game franchises of all times!",Epic game!
5.0,they work great on the dsi and 3dsxl and all the others with the newer type charger.,Five Stars
5.0,My boys loved it,Five Stars
2.0,Just a shadow of what it should've been,Could be worse.
5.0,You idiot they said it was 30 FPS from the beginning. It will have no difference in the game then 60 FPS it plays flawless at 30. So really who gives a crap if it's 30.,30 FPS is still flawless in this game. It's plenty for this game.
5.0,great game kids love it I love it,Five Stars
4.0,"Foreword. I'm not one to relish in gimmicks or trinkets or overhauling modifications. I like my controller clean and pretty.

Afterword. Thus why did I spend the five dollars on an attachment I'd only fancy a wee bit? My ""Clean and pretty"" Xbox 360 controller is from 2006, used almost everyday for the past five years. The stick is worn beyond the concave and sloped more then an on ramp. It's a rolling lump. An impractical mess so to speak.

Rather then replace the stick (as I should have possibly done instead) I figured this would be the easiest course of action. And it was. It is a solution to a problem.

A solution that will allow me a little longer with a dying controller.

But as I've made abundantly clear, these things are not at all in the slightest necessary. I find that I still loose ""grip"" from time to time depending on the game and the actions occurring. Their dry sticky style of suction is both adhesive and distracting. From constant use I find my mind drifting from game to controller as the little firm frog foot clings to my thumb. Maybe that is just a personal dilemma but it is worth noting that if you like me find yourself constantly enthralled by the game you're playing, these might unsettle you at first as they have me.

Final word. I hate that these will not fit over a FPS Freak*. They're too small. And the contrast of slightly worn FPS Freak to Grip-iTs is definitely distracting. Otherwise I like them. Not enough to fully one hundred percent recommend them and then and only then would I suggest to those like myself with an old worn out controller but there is enough here to warrant the small investment if curious. These things don't ""slip"" and don't add much height (if you aren't into that sort of thing).

No ""gluing"" required in the writing of this review or use of product.

*[Supposedly one must flip them inside out to make them work, decal down. Yet to try]",To grip or Not to grip that is the question
1.0,"Two agents go around killing zombies.  One white guy, one black guy.  Similar to Pulp Fiction in their interactions.  It's not that fun of a game.  I much prefer the Japanese shooters with high quality animations and subtitles.  This is listed as a Sega product, but it's made by an American developer.  Too much focus on style and not enough on gameplay.  It's really easy and mindless.  Bosses are easy.  The black guy and others swear too much and it's annoying.  I muted the dialogue after a while.

Not recommended.  I'm planning to get the Resident Evil shooters instead.  I only got this due to the low price tag, but I regret even that and I will resell it.

*addendum: traded this game in on Amazon and got Resident Evil Darkside Chornicles. Its a far superior game, get it.","too profane, annoying, not fun or challenging, get Resident Evil"
5.0,Very Happy with the product and the price works just like they said and I would recommend to anyone who play Call Of Duty Ghost,PS3 Modded Controller
5.0,"I have read a lot of neutral to negative reviews about this game and I honestly think that they are unfair. I used to play Need for Speed 3 on my PlayStation with my brother and we loved it. When I saw this game out for the Wii, I felt that I had to get it. Let me say that is is worth every penny so far. It may not be the best graphically, but as far as entertaining, it's all good.",Very fun
5.0,that was the exclamation of my daughter when she opened the package. She like to play this game a lot. I paid less for it here than in the brick and mortar store so it was worth it.,Best most powerful character ever...
5.0,Great Lego game.,Five Stars
4.0,"As someone that has took some time off from the 2K series, it was great to return this year. The controls are completely rebuilt - and there is a learning curve - but it will prove to be worth it.",Great purchase
5.0,"Lots of different games to choose from and love that we can pick our characters!  Something for everyone :)  Only issue was that there was a ""Santa Claus"" character when we first started playing then all of the sudden we couldn't find him anymore...that is always who my 2 yr old wants to be when he plays air hockey!  We convinced him to go w/ the Santa-looking guy in the purple pj's...Sandman, perhaps?",Love it
4.0,"These types of games should have different twists to them.
I have almost 4-5 of these types.
And the almost all work the same.
Some of them are fun, others are boring.",Cradle of Rome
5.0,cool,Five Stars
5.0,"If you had played any of the Grand Theft Auto games in the past, you may find this one to be a bit more tricky. I know I did but I enjoyed the game play. The graphics are wonderful and the storyline was great. The game and it's packaging were in mint condition and there were no technical difficulties with the game play.",Tricky game
3.0,complicated to set up!,Three Stars
3.0,Good,Three Stars
4.0,"Fabulous game with a really great story, the only discrepancy I have is the multiplayer. Multiplayer has a huge Emphasis on stealth, stealth is fun but its a 10 man lobby of players crouching down moving slow through the map, an it sucks because the game Is so much like uncharted without the climbing. Multiplayer has good weapon variety, but I feel like the weapons and the perk system are a waste because of the stealth based multiplayer, also this is very minor but through the story there are certain pieces of terrain you feel like you should be able to interact with but you can, for example I tried to walk through a bush bit there was a invisible force field around it, other that that, really great game, I would highly recommend it...",Love this game..
5.0,"First of all, it's a comic book game without a comic book mythos to draw from. This huge sandbox game lets you slip into the shoes of Cole MacGrath, the victim of some sort of radiation. Immediately, the game starts off with Cole barely able to move and supposing his guilt for a huge explosion that leveled a huge section of downtown Empire City. Looters form gangs and divide up the chaotic city into huge turfs of dangerous mortar and asphalt. It seems that Cole begins to develop electricity-based powers. And the further down the storyline he goes, the more powers he gets, and the level of power increases too. Players are able to advance as they wish, divvying up experience to increase whatever they are able. It seems that he is to be the most powerful man on the island-city.

But the first bit of brilliance is that you aren't stuck in the role of hero; you can be just as evil if you desire. Another fine point being that you can literally go anywhere you want, just so long as you don't try to go swimming. The mechanics can be a little trick to learn, but the game scales well enough not to put you into a situation the character cannot yet handle. No spoilers here, as I am sure most everyone reading the reviews for this game are already familiar with the story. Suffice to say, it is top-notch and shows off a fair number of sub-plots.

This is one of those game that does pay to play again, if only to experience the story from the opposing alignment. Overall, this is a great game with tremendous mechanics that will most likely be used in many games to come.",Cole on a Hot Tin Roof
4.0,"Puzzles!  Not my fav really but it is cool.
I would say if you love lolo or fire n ice then you will love this - so I gave it an extra star.",Puzzle fun.
5.0,"Now I can finally play BF4 on my PS4, wonderful.",wonderful.
5.0,Love Resident evil series fun game thanx.,Five Stars
5.0,"Love this game, still play it a lot. People complain about this game a lot but everyone has different tastes.",Great Game
5.0,"I had the game before that came with a used computer we had. It eventually died and the kids were disappointed to lose to the game. They really enjoy this game and even I have played it, and enjoy it.",Kids love it
4.0,"This game was better than we expected.
Its fun in a group (taking turns) for a few reasons ...
1) The turns are quick.
2) You don't have to have the control to participate.  Everyone has ideas and suggestions on how to win the puzzle.
3) You can redo the previous puzzle to try it a different way or try to get a better score.

It's more of a thinking / logic puzzle than a skill-with-the-controls game.
I wouldn't rank it as a must-have or great game, but its fun.","surprisingly fun, particularly in a group"
5.0,"This is the best game of Batman ever made. A perfect continue of Arkham Asylum. With Uncharted 3, this game its one of the best game for ps3. Perfect game, perfect price.",Awesome Game
4.0,"""LEGO Batman 2: DC Super Heroes"", while not perfect, is a good game.  It's the first game I've played with voice acting.  Normally voice acting in a video game is a welcome addition, in LEGO games however I think some of the charm is lost.",Fun stuff
5.0,Excllent,Five Stars
5.0,"Package said PSP-2000 only, but it fits my PSP 3001 fine.
The newer packagings in the stores are a different color and indicate PSP2000 and PSP3000.

A little bulky, but if that's what is takes to protect the device when I need to pack it in luggage, etc.

I applied a screen protector to the screen, and will be getting a very thin, unpadded, nylon case for carrying my PSP 3001 around with me.",Works great for my PSP 3001!
4.0,"It does what it's supposed to do, recharge your batteries. The battery lasts long enough, until now I've had no problems with this (my xbox died.. rrod) and everything is cool.

I recommend this if you want to save on buying a bunch of AA batteries. The only drawback it's that it only brings 1 battery with it, from the picture here I though it brought two. But whatever, it was worth it.",It does the job
5.0,"I bought this game because it sounded interesting. When I got it and first started playing it I thought it was going to be like Half-Life. Another adventure type game that was out of its time (Half Life was good when it first came out. But it doesn't compare to Deus Ex). Nevertheless, after about 30 minutes playing the game I was shocked that it was a very complex fighting game! You really need to ""learn some skills"" to get good at this game. It's not a first-person slasher where you just go around hacking people up. If you tried that you'd get hacked up yourself in no time. No, you need to learn how to *master* your sword fighting skills, stealth mode, and bow. When I looked at the box I thought it was a Japanese samurai type game. It's not. Think Mongolian. Think Huns. 400 AD - 1400 AD time frame.
Rau, your character, has the body of a barbarian, but the skills of a Hun/Mongolian swords man. He has bow skills too and is no way just a big muscle-bound guy. You also have a black crow that you have trained to help you during your jobs. You can make the crow fly to predetermined perches so that you can get a birds-eye view of what's around the bend. You can also have your crow fetch items for you that are out of your reach.
I've only played this game for about 3-4 hours so far and I can tell you this. It's not going to be easy. You have missions. And each one gets harder and harder. Since you need skills to master the sword, you better have strong hands since this game requires that you are constantly pressing the button to fight off your would be attackers. There is a nice feature that lets you attack multiple foes at once. You can take on three enemies at one time! It's quite a nice setup how easy it is once you master the controls. But that doesn't mean that the mission will be easy to finish. If anyone remembers Deus Ex; just like that game, you could play it using different methods. One, you play it head-on (fight everyone). Or two, you can be a sneaky (stealth type mode). You can use your sneak attack, or you can use your  bow from afar. It's your choice. The AI seems very smart too.  The enemies aren't dumb. Once they see you they will look for you. But, some times they might just hear you and think it was  just an animal or something. Then, they go about their business. And sometimes if they hear you (but don't come after you) they will just keep waiting for you until you come around the corner (Basically, they know you are hiding. But they won't come and get you. They just wait for you.).
Right now, I'm only using the sword and bow. But it looks like there are 5 weapons. But, it's NOT about the weapons that makes this game good (Quake or Unreal). It's the mastering of the weapons that makes the game! There are some nice side games (Arena style) where you can hone your skills for prizes. There's also a tutorial that you can play that is called ""training."" In the Arena practice you can take on 15 guys at the same time. Once you get good at that you'd be surprise how much that helps you during real combat. But, remember. That doesn't mean that you can just start hacking away. Sometimes it's better to just sneak around a corner and grab someone and take them out silently (if your in that mode).
So, if you liked Oni (from Bungie) and Deus Ex. You should like this game. They should have called this game The Mongolian Warrior.
P.S. The Sage is a funny old bag!",Oni meets Conan (The Mogolian Warrior)
5.0,Fun game! My 7 year old loves it.,Dad's review
5.0,Fun game.  Easy to play and understand.,Fun game. Easy to play and understand
5.0,Took me less then five minutes to install and made my controller like new. This thing is amazing I would buy again you will not be disappointed,Amazing! If your board of your controller instead of buying a new buy this!!!
5.0,Great war game. My son loves it.,Five Stars
5.0,everything was great,Five Stars
5.0,it's gameplay is rahter unique and and RTS game (similiar to warcraft) and it's nice to experince a gameplay which was never attampted before in a FF game,intresting game!
5.0,all is ok,Five Stars
5.0,"I love RPG's but for some reason the idea of playing an sRPG has really turned me off to some games and series in the past. Fire Emblem was one of those series. I finally decided that I needed to give it a shot so I pre-ordered rather than paying twice as much in a few months! Totally worth it. I have already beaten the game and I'm in the midst of a second play through. I also bought the DLC because I loved the main game so much but I won't review that here. Btw you do not need to buy the DLC, the game is finished without it.

The main pro to this game is definitely the game play. It's addicting to pick your units, outfit them, and set up your battlefield so that certain characters build bonds as well as making sure that none of your units die. I liked how there was a choice to play on ""casual"" where units came back after dying and ""classic"" where units that die are gone for good. There is also a choice between normal and hard diffculty. Being an inexperienced sRPG player I chose casual/normal for my 1st time through which probably saved me a ton of repetition.

I find the characters to be very likable although some of them are over the top. You will definitely find yourself picking favorite units and creating marriages between your favorite characters! The story itself is generic and mediocre but the individual characters save the game! The voice acting is barely existent (just a few phrases really) but the dialogue is really fun. The dialogue between certain characters expands based on your choices on the battle field. The music is good but not as epic as you may find in some other RPG series but it blends nicely into the background. The graphics are quite nice on the 3DS. The only thing that really bothered me where the characters feet. Stumps! You'll see what I mean when you play the game!",I've been missing out big time!
5.0,"It's been so long since i've played Diablo 2 and D3 is more of a nostalgia type of game for me. I've already burned numerous hours on D3 and i feel i've invested my time wisely! I personally don't care about the ""must have internet"" to play feature, mainly cause you can find internet connections anywhere now a days. So the people complaining just have nothing else to do with their time then to down rate something they just don't understand how to play. It's okay though, those of us that are understanding and not bratty will enjoy the game and you all with miss out. Tough luck.

Anyway! See you all in game!",Can't leave my computer.
5.0,Best game ever.,Five Stars
5.0,"Not a command and conquer game -- it's one of court politics and the quest to become upwardly mobile within the powerful socioeconomic hierarchy.  Extremely well done, but not everyone loves this type of game.  Be forewarned, the interface and mechanics are complicated but the complexity of the situations it presents require this.  Also, check out the mods -- there is a game of thrones one which is particularly popular.",Ambitiously envisioned concept which is Flawlessly Executed
2.0,"Not at all lag free, and it doesn't have much dpi for gaming. Maybe it was mine which I returned, but still not what I expected.",Not bueno
4.0,"It took me awhile to figure out the mouse wasn't working because it needed to be plugged into a usb 3.0 slot. Mapping the buttons on the side of the mouse for world of Warcraft was easy tho. I wish the program it came with allowed you to flash threw different colors, but it only lets you choose one color at a time.",Mapping the buttons on the side of the mouse for world of Warcraft was easy tho. I wish the program it came with ...
5.0,"Far cry was a first for me and it did not disappoint. The 3 was the best, but the other were great add ons and made the gaming experience just as enjoyable.",... was a first for me and it did not disappoint. The 3 was the best
1.0,"After seeing that reviews here on Amazon were mostly positive and that the same company that made the entertaining Carnival Games made this, I bought it.

Mistake.

The controls are TOO responsive even after some self-troubleshooting. The convoluted control schemes don't make things more fun; give me simple. The games are simply not entertaining.

Those looking for some easy-to-pick-up mini-games should look elsewhere or even at the superior Carnival Games.","Big Top, Big Fail"
5.0,Very responsible seller. Immediate delivery of the poducto. Recommended 100%. The Product is very usefull and important for actualize the wii software.,Wii Net Connect
5.0,"One of the greatest video games of all time, full stop. Great gameplay, a gorgeous, deep setting, a gripping story, a deep, complex, likable protagonist and a great supporting cast make this the best addition to Xbox One backward compatibility yet. Very, very, very highly recommended.",A MUST-HAVE for your 360 or XB1
3.0,Ok product,Three Stars
3.0,"Video game reviews are extremely subjective.  For that reason, I will list some caveats and you can continue reading or move on based on those.

1.  My first multiplayer CoD experience was with CoD4 (Modern Warfare 1), which I consider to be an extremely good game.
2.  I loved MW2, both multiplayer and spec ops.
3.  I was apprehensive of Black Ops at first, but ended up playing it extensively, more than any prior CoD, both by myself and with parties of friends.  It has many flaws such as terrible sound effects, but overall it was well supported and a lot of fun.
4.  I really enjoy Zombies, but am fully aware that the MW series does not contain this mode.
5.  I play the CoD campaigns, before doing anything else with the game, and eventually redo them on veteran and collect the intel for the achievements.
6.  I don't mind the game being nearly identical in appearance to MW2, because [see note 2]
7.  I don't own any Battlefield game and when I tried BF3 at a friend's house, I did not care for it...without teamwork, it was just a lot of running around the map. (I'm sure it is better with a cooperating team).

If this sounds similar to you, then read on.  If not, then my review probably won't suit you.  Please don't downvote a review because you disagree with the opinions in it.

As seen in my list of caveats, I enjoy Call of Duty in general and the Modern Warfare series in particular, so it was only natural that I pre-ordered MW3 and got the Hardened edition because 1) I could and 2) I thought the idea of getting the DLC maps early with the Elite Premium subscription was a nice bonus.

Upon receiving the game, I popped it in and quickly played through the campaign on ""Regular"" difficulty, my usual method for a new CoD.  I generally return to the campaign a couple of years down the road on a rainy day and play it on Veteran, cheaply using the online Call of Duty wiki to quickly find the intel items (I prefer not to poke about the map excessively while on Veteran mode).  I was fairly happy with the campaign; people have been saying it was short, but it was no shorter than any prior CoD.  I completed it in 5 hours on Regular.  The campaign, as usual, featured a nice variety of actions ranging from standard run-and-gun to the typical stealth mission and a couple of neat additions such as a remote-control miniature tank.  The feel, graphics, and handling of the game were nearly identical to MW2, which I both expected and enjoyed.  MW2 was a well-made game.

Upon starting up multiplayer, however, my feelings about the game plummeted to an all-time low, and have unfortunately stayed there.  In the past, I could not get enough of CoD games.  I would play for hours, then end up on a losing streak and finally quit.  Within another hour or so, I would be refreshed and eager to play some more.  I racked up nearly 40,000 kills in Black Ops in about 10 months, which is far fewer than many people, but still a significant amount for someone with a full-time job.  With MW3, on the other hand, I am not even halfway to my first prestige, and would honestly not care if the disc caught on fire and was destroyed.

Why this sudden change of heart?  I have several reasons for really, really, really disliking MW3 online.

1. LAG.  I have a good internet connection and experience no lag (or minor) on all other games.  Borderlands, Black Ops zombies, 75% of Black Ops multiplayer, Forza Motorsport, you name it.  Smooth and clean.  Then I play MW3, and EVERY SINGLE MATCH features significant and sometimes intolerable lag.  This is not OK and leaves me nothing short of infuriated.

2. Maps.  In prior CoD games, the maps were unique, distinct from each other, well-made with good hiding spots, cover, and open areas to watch out for, and in the case of Black Ops, interactive features such as doors.  Areas of the map could be quickly identified to teammates with simple words.  In MW3, however, all the maps seem remarkably similar.  Many of them feature recycled buildings from MW2, which seems slightly cheap since the game developers had 2 years to work on it.  Finally, most of the maps are so cluttered with debris, narrow alleys, and multiple windows, that employing any sort of strategy is nearly impossible.  My ""strategy"" has been to run around haphazardly, shoot at people, and hope I have a better connection than them.  Keep in mind that I was a fairly solid Black Ops player who could move systematically around the maps and nearly always achieve a kill/death ratio greater than 1.  Not the case with MW3.

3. Spawns.  Due to the cramped nature of the maps, enemies will frequently spawn behind you and quickly get a cheap kill.  The spawn mechanics are nothing short of terrible.

4. Killstreaks.  The developers may have thought they were doing people a great favor by making the killstreak rewards chain together (i.e., kills given by a killstreak reward count toward the next reward, as was NOT the case in Black Ops), but what this ended up doing was causing what I like to call a ""killstreak fest.""  The entire game consists of announcements about the next incoming helicopter/stealth bomber/spy plane/recon drone/etc. as aerial attacks bombard the playing area.  Normally I would say kudos to those people doing well enough to achieve those rewards, but when their bomber granted them a helicopter, it's not so impressive anymore...just annoying.

I will say right now that I cannot give a complete and objective view of the multiplayer modes in MW3.  I simply haven't played enough to do that.  And the reason I haven't played enough is that I don't even want to.  If a game is not fun at all, I am not going to force myself to play it.  Sadly, this is the case with MW3 online.  Some people might quickly throw out the ""you're just bitter because you suck"" line.  I will not deny the fact that I ""suck"" at MW3, but once again I have been a moderately successful CoD player in the past.  Not being familiar with the game's nuances is certainly part of my trouble, but the above mentioned problems are also a big part and a great deal of the reason why I don't want to play and therefore WON'T get better.  I was terrible at Black Ops and MW2 when I first started, but found those games fun enough to keep trying and eventually overcome this.

Finally, the game contains the spec ops/survival mode feature, which can be played solo or co-op.  This is a fun part of the game; spec ops is basically the same as MW2 with new missions (I enjoyed this in MW2) and survival mode is new but is a wave-based mode like zombies, except that the enemies shoot back.  I find it rather enjoyable, if not very difficult when multiple Juggernauts spawn and begin closing in.

The game is not all bad.  The graphics are about the same as MW2, but it is hard to expect great improvements on the same generation of console.  The 360's graphics card and processor can only do so much.  The sound effects are awesome and a huge step up from Black Ops, whose guns sounded like airsoft replicas or worse yet, someone spitting into a tin can.  The new create-a-class features which include Weapons Proficiencies and more customizable options are a nice progression from the previous titles.

And now, a word about Elite.  Unless you are really desperate to acquire the DLC maps one at a time each month instead of in packs, there is little reason to purchase the costly Elite Premium subscription.  I have a year free due to buying the game's Hardened edition, and therefore won't have to pay for the map packs because they are included.  However, even if I finally get into the game and start enjoying the multiplayer, I won't be renewing that subscription.  The free version of Elite is quite sufficient, in my opinion, and actually a step backward from Black Ops, which contained many of those features (Combat Record) right there in the multiplayer instead of in a separate and standalone application.  The loss of player cards and the associated info seems like a serious downgrade from Black Ops, but I guess Sledgehammer/IW had to do things differently from Treyarch.

Overall, I am not particularly happy with MW3.  It has its good points, and the co-op modes are quite fun, but the multiplayer is riddled with problems and lacks the compelling addictiveness of the prior games.  Again, much of this is my opinion, but I feel that I am not alone in thinking this way.  Unlike other reviewers, I will not claim ""If you liked MW2, you will love MW3,"" because for me this is completely false.  Judge carefully and buy at your own risk...or rent.  I should have done it that way.","Despite qualifying as a ""CoD fanboy,"" I am not impressed."
1.0,Package was opened and taped back shut and looked horrible. I purchased this as a gift would not go through this seller again. The skylander looked like it had been used and then data reset and put back into package very poorly.,Package was opened and taped back shut and looked horrible. I purchased this as a gift would not ...
5.0,"He LOVES this! Plays it just about every day. My husband and I play it with him sometimes too and it's pretty good. Disc came without scratches, plays awesome, case was in excellent condition, cover art great. All around a good buy, definitely worth the money.",Bought for my son
2.0,Continually fell off or interfered with gameplay.,Junk.
5.0,Work just as well as the old cymbal expansion.,Five Stars
5.0,"Excellent product , thank you",Five Stars
5.0,ty,ty
3.0,Too hard in easy mode...,Three Stars
5.0,The ps vita is in new condition looks nice responds really good the reason for the 4 stars is because of the lack of wifi connection dosent last so im not sure if its the system because my android phone and xbox one connect and stay connected but the ps vita dosent and it shows 3 wifi bars but its cuts off and says time limit reached when its only 1 second or 5 seconds while im watching a video or trying to download a game it stops and is very annoying and kills the joy of having this happening every few seconds very disappointed .but i still love  it oh and the x and o button are reversed but you can change that option on the vita itself.,The ps vita is in new condition looks nice responds really good..
4.0,"Love the feel of this, make the Vita feel a lot..""A LOT"" more comfy and natural. I don't have huge hands but when trying to use the Vita, its not very comfy and natural feeling.",Look & Feel +
