Internal ID,Q1: GOING OUT?,Q2: GENDER,Q3: AGE,Q4: COUNTRY,"Q5: STATE, PROVINCE, COUNTY, ETC",Q6 | FIRST FAV CANDY,Q6 | SECOND FAV CANDY,Q6 | THIRD FAV CANDY,Q7: OTHER COMMENTS,Q8: GEOTAG,BLANK COLUMN,Q9: DAY
200,No,Female,47,Canada,Ontario,Fuzzy Peaches,Coffee Crisp,Candy Corn,,"49.2619, -84.7319",,
201,Yes,Female,42,Canada,BC,Coffee Crisp,Fuzzy Peaches,Fuzzy Peaches,,"54.0844, -124.0017",,Friday
202,No,Female,24,Canada,British Columbia,Candy Corn,Peppermint Patties,Reese's PB Cups,,"54.0844, -124.0003",,Sunday
203,No,Male,39,Canada,Alberta,Reese's PB Cups,Peppermint Patties,Peppermint Patties,,"54.5321, -115.0522",,Friday
204,No,Female,39,Canada,BC,Sour Patch Kids,Peppermint Patties,Coffee Crisp,Seriously wondering what neighbourhood hands out vicodin,"54.0844, -124.0016",,Friday
205,No,Male,41,Canada,British Columbia,Reese's PB Cups,Peppermint Patties,Candy Corn,,"54.0844, -124.0004",,
206,No,Female,63,Canada,Bc,Candy Corn,Coffee Crisp,Fuzzy Peaches,,"54.0844, -124.0015",,Sunday
207,No,Female,38,Canada,BC,Reese's PB Cups,Coffee Crisp,Sour Patch Kids,,"54.0844, -124.0014",,
208,No,Female,31,canada,québec,Coffee Crisp,Coffee Crisp,Coffee Crisp,,"46.8122, -71.2154",,
209,No,Male,45,Canada,Ontario,Coffee Crisp,Sour Patch Kids,Peppermint Patties,,"49.2619, -84.7320",,
210,No,Female,18,Canada,British Columbia,Coffee Crisp,Sour Patch Kids,Candy Corn,,"54.0844, -124.0005",,Friday
211,No,Female,18,Canada,BC,Pop Rocks,Sour Patch Kids,Fuzzy Peaches,,"54.0844, -124.0013",,Friday
212,No,Male,46,Canada,Alberta,Fuzzy Peaches,Sour Patch Kids,Coffee Crisp,,"54.5321, -115.0523",,Friday
213,No,Female,34,Canada,British Columbia ,Reese's PB Cups,Candy Corn,Peppermint Patties,,"54.0844, -124.0008",,Friday
214,No,Female,34,Canada,Nova Scotia,Peppermint Patties,Coffee Crisp,Reese's PB Cups,,"45.2166, -62.7007",,
215,No,Female,43,Canada,BC,Chips,Candy Corn,Pop Rocks,thanks for the survey! ,"54.0844, -124.0012",,Friday
216,No,Female,40,canada,bc,Peppermint Patties,Pop Rocks,Fuzzy Peaches,,"54.0844, -124.0011",,Sunday
217,,Male,30,canada ,ontario,Reese's PB Cups,Chips,Sour Patch Kids,,"49.2619, -84.7321",,Sunday
218,No,Male,43,Canada ,Alberta ,Coffee Crisp,Peppermint Patties,Candy Corn,,"54.5321, -115.0526",,Friday
219,No,Female,39,Canada ,Manitoba ,Candy Corn,Peppermint Patties,Candy Corn,,"49.7717, -96.8167",,
220,Yes,Male,53,Canada ,Bc,Pop Rocks,Peppermint Patties,Candy Corn,,"54.0844, -124.0010",,
221,No,Female,45,Canada ,Bc,Chips,Peppermint Patties,Sour Patch Kids,,"54.0844, -124.0009",,Friday
222,,Male,47,Canada ,Ontario ,Sour Patch Kids,Coffee Crisp,Fuzzy Peaches,,"49.2619, -84.7324",,Friday
223,No,Male,38,Canada ,Manitoba ,Peppermint Patties,Pop Rocks,Peppermint Patties,,"49.7717, -96.8168",,Friday
224,No,Female,40,Canada ,BC,Reese's PB Cups,Fuzzy Peaches,Reese's PB Cups,,"54.0844, -124.0008",,Sunday
225,Yes,Female,40,Canada ,BC,Candy Corn,Coffee Crisp,Pop Rocks,,"54.0844, -124.0007",,
226,,Male,50,Canada`,BC,Sour Patch Kids,Pop Rocks,Candy Corn,,"54.0844, -124.0006",,Sunday
227,Yes,Male,53,Canae,Bc,Chips,Reese's PB Cups,Pop Rocks,,"54.0844, -124.0005",,Sunday
